!SLC	Landuse	Soiltype	cropid-main	cropid-2nd	rotation	vegetation_type	special_class	tile_depth	drain_depth	soil_layers	depth1	depth2	depth3	Comment
1	1	4	0	0	0	3	2	0.0	1.0	3	0.25	0.5	1.0	
2	2	4	0	0	0	1	0	0.0	0.25	2	0.1	0.5	0.5	
3	3	2	12	0	0	1	0	0.0	1.25	3	0.25	0.75	1.5	
4	4	1	11	0	0	2	0	0.0	2.0	3	0.25	1.0	2.5	
5	4	2	11	0	0	2	0	0.0	1.25	3	0.25	0.75	1.5	
6	5	1	11	0	0	2	0	0.0	2.0	3	0.25	1.0	2.5	
7	5	2	11	0	0	2	0	0.0	1.25	3	0.25	0.75	1.5	
8	5	3	11	0	0	2	0	0.0	1.25	3	0.25	0.75	1.5	
9	5	5	11	0	0	2	0	0.0	0.5	2	0.25	0.5	0.5	
10	6	1	11	0	0	2	0	0.0	2.0	3	0.25	1.0	2.5	
11	6	2	11	0	0	2	0	0.0	1.25	3	0.25	0.75	1.5	
12	6	5	11	0	0	2	0	0.0	0.5	2	0.25	0.5	0.5	
13	9	1	12	0	0	1	0	0.0	1.25	3	0.25	0.75	1.5	
14	9	2	12	0	0	1	0	0.0	1.25	3	0.25	0.75	1.5	
15	9	3	12	0	0	1	0	0.0	1.25	3	0.25	0.75	1.5	
16	9	5	12	0	0	1	0	0.0	0.5	2	0.25	0.5	0.5	
17	10	5	0	0	0	1	0	0.0	0.5	2	0.25	0.5	0.5	
18	11	3	12	0	0	1	0	0.0	1.25	3	0.25	0.75	1.5	
19	7	1	8	0	1	1	0	0.0	2.0	3	0.25	1.0	2.5	
20	7	2	8	0	3	1	0	0.75	1.25	3	0.25	0.75	1.5	
21	7	3	8	0	7	1	0	0.75	1.25	3	0.25	0.75	1.5	
22	7	5	8	0	9	1	0	0.0	0.5	2	0.25	0.5	0.5	Agriculture on thin soils
23	8	1	2	0	0	1	0	0.0	2.0	3	0.25	1.0	2.5	
24	8	2	2	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5	
25	8	3	2	0	0	1	0	0.75	1.25	3	0.25	0.75	1.5	
26	8	5	2	0	0	1	0	0.0	0.5	2	0.25	0.5	0.5	Pasture on thin soils
27	7	1	9	0	1	1	0	0.0	2.0	3	0.25	1.0	2.5	Added in post-processing, rainfed agriculture, second main crop
28	7	2	9	0	3	1	0	0.75	1.25	3	0.25	0.75	1.5	Added in post-processing, rainfed agriculture, second main crop
29	7	3	9	0	7	1	0	0.75	1.25	3	0.25	0.75	1.5	Added in post-processing, rainfed agriculture, second main crop
30	7	5	9	0	9	1	0	0.0	0.5	2	0.25	0.5	0.5	Added in post-processing, rainfed agriculture, second main crop
