SUBID	PS_TYPE	PS_VOL	PS_TPCONC	PS_TNCONC	PS_SPFRAC	PS_INFRAC	COM	PS_SOURCE
56029	1	25861.18026	0.698573348	27.54281869	0.3	0.9	urban	0
56266	1	23446.46605	0.684789784	27.49390079	0.3	0.9	urban	0
51003	1	11479.79373	0.52739726	27.01369863	0.3	0.9	urban	0
51898	1	6530.385364	0.52739726	27.01369863	0.3	0.9	urban	0
54699	1	5234.051941	0.859657534	28.11450685	0.3	0.9	urban	0
49873	1	4590.138549	0.52739726	27.01369863	0.3	0.9	urban	0
47396	1	4453.783868	0.52739726	27.01369863	0.3	0.9	urban	0
56029	1	3219.089446	0.52739726	27.01369863	0.3	0.9	urban	0
5190	1	3158.114532	1.388032507	29.75450782	0.3	0.9	urban	0
51003	1	3042.412436	0.52739726	27.01369863	0.3	0.9	urban	0
52467	1	1981.330607	0.52739726	27.01369863	0.3	0.9	urban	0
53366	1	933.615352	0.52739726	27.01369863	0.3	0.9	urban	0
5190	1	896.6649718	0.52739726	27.01369863	0.3	0.9	urban	0
15112	1	400.3118743	0.52739726	27.01369863	0.3	0.9	urban	0
9002253	1	343.3305177	0.52739726	27.01369863	0.3	0.9	urban	0
51898	1	272.981634	0.52739726	27.01369863	0.3	0.9	urban	0
15112	3	0	61.9	304.76	0.25	0.5	animals	0
49941	3	0	58.48	332.18	0.25	0.5	animals	0
53366	3	0	59.95	320.41	0.25	0.5	animals	0
51003	3	0	61	312.02	0.25	0.5	animals	0
56029	3	0	60.9	312.83	0.25	0.5	animals	0
5190	3	0	58.62	331.02	0.25	0.5	animals	0
15112	3	0	59.31	325.55	0.25	0.5	animals	0
51898	3	0	59.78	321.76	0.25	0.5	animals	0
51003	3	0	60.93	312.55	0.25	0.5	animals	0
52467	3	0	57.49	340.05	0.25	0.5	animals	0
51898	3	0	60.35	317.23	0.25	0.5	animals	0
56029	3	0	61.86	305.15	0.25	0.5	animals	0
5190	3	0	59.05	327.57	0.25	0.5	animals	0
9002253	3	0	61.39	308.9	0.25	0.5	animals	0
49873	3	0	59.82	321.42	0.25	0.5	animals	0
47396	3	0	59.11	327.14	0.25	0.5	animals	0
54699	3	0	60.61	315.13	0.25	0.5	animals	0
56266	3	0	62.48	300.17	0.25	0.5	animals	0
9002253	1	-343.3305177	0	0	0.3	0.9	abstr	1
56266	1	-23446.46605	0	0	0.3	0.9	abstr	1
47396	1	-4453.783868	0	0	0.3	0.9	abstr	1
51898	1	-272.981634	0	0	0.3	0.9	abstr	1
56029	1	-25861.18026	0	0	0.3	0.9	abstr	1
52467	1	-1981.330607	0	0	0.3	0.9	abstr	1
51003	1	-3042.412436	0	0	0.3	0.9	abstr	1
54699	1	-5234.051941	0	0	0.3	0.9	abstr	1
49873	1	-4590.138549	0	0	0.3	0.9	abstr	1
51003	1	-11479.79373	0	0	0.3	0.9	abstr	1
5190	1	-3158.114532	0	0	0.3	0.9	abstr	1
